Date,Price
12/2/2024,106.45
12/3/2024,106.37
12/4/2024,106.34
12/5/2024,105.71
12/6/2024,105.97
12/9/2024,106.15
12/10/2024,106.4
12/11/2024,106.71
12/12/2024,106.96
12/13/2024,107.0
12/16/2024,106.86
12/17/2024,106.96
12/18/2024,108.03
12/19/2024,108.41
12/20/2024,107.62
12/23/2024,108.04
12/24/2024,108.26
12/26/2024,108.13
12/27/2024,108.0
12/30/2024,108.13
12/31/2024,108.49
1/2/2025,109.39
1/3/2025,108.95
1/6/2025,108.26
1/7/2025,108.54
1/8/2025,109.09
1/9/2025,109.18
1/10/2025,109.65
1/13/2025,109.96
1/14/2025,109.27
1/15/2025,109.09
1/16/2025,108.96
1/17/2025,109.35
1/21/2025,108.06
1/22/2025,108.17
1/23/2025,108.05
1/24/2025,107.44
1/27/2025,107.34
1/28/2025,107.87
1/29/2025,108.0
1/30/2025,107.8
1/31/2025,108.37
2/3/2025,108.99
2/4/2025,107.96
2/5/2025,107.58
2/6/2025,107.69
2/7/2025,108.04
2/10/2025,108.32
2/11/2025,107.96
2/12/2025,107.94
2/13/2025,107.31
2/14/2025,106.57
2/18/2025,107.05
2/19/2025,107.17
2/20/2025,106.34
2/21/2025,106.61
2/24/2025,106.6
2/25/2025,106.31
2/26/2025,106.42
2/27/2025,107.24
2/28/2025,107.61
3/3/2025,106.75
3/4/2025,105.74
3/5/2025,105.74
3/6/2025,104.06
3/7/2025,103.84
3/10/2025,103.91
3/11/2025,103.44
3/12/2025,103.61
3/13/2025,103.83
3/14/2025,103.72
3/17/2025,103.37
3/18/2025,103.24
3/19/2025,103.43
3/20/2025,103.85
3/21/2025,104.09
3/24/2025,104.26
3/25/2025,104.18
3/26/2025,104.55
3/27/2025,104.07
3/28/2025,104.04
3/31/2025,104.21
4/1/2025,104.26
4/2/2025,103.81
4/3/2025,102.07
4/4/2025,103.02
4/7/2025,103.26
4/8/2025,102.96
4/9/2025,102.9
4/10/2025,100.87
4/11/2025,99.78
4/14/2025,99.64
4/15/2025,100.22
4/16/2025,99.38
4/17/2025,99.38
4/21/2025,98.28
4/22/2025,98.92
4/23/2025,99.84
4/24/2025,99.29
4/25/2025,99.47
4/28/2025,99.01
4/29/2025,99.24
4/30/2025,99.47
5/1/2025,100.25
5/2/2025,100.0
5/5/2025,99.83
5/6/2025,99.24
5/7/2025,99.61
5/8/2025,100.64
5/9/2025,100.34
5/12/2025,101.79
5/13/2025,101.0
5/14/2025,101.04
5/15/2025,100.88
5/16/2025,101.09
5/19/2025,100.43
5/20/2025,100.12
5/21/2025,99.56
5/22/2025,99.96
5/23/2025,99.11
5/26/2025,98.93
5/27/2025,99.52
5/28/2025,99.88
5/29/2025,99.28
5/30/2025,99.33
6/2/2025,98.7
6/3/2025,99.25
6/4/2025,98.79
6/5/2025,98.74
6/6/2025,99.19
6/9/2025,98.94
6/10/2025,99.05
6/11/2025,98.63
6/12/2025,97.92
6/13/2025,98.18
6/16/2025,98.0
6/17/2025,98.82
6/18/2025,98.91
6/20/2025,98.71
6/23/2025,98.42
6/24/2025,97.86
6/25/2025,97.68
6/26/2025,97.15
6/27/2025,97.4
6/30/2025,96.88
7/1/2025,96.82
7/2/2025,96.78
7/3/2025,97.18
7/7/2025,97.48
7/8/2025,97.51
7/9/2025,97.47
7/10/2025,97.65
7/11/2025,97.85
7/14/2025,98.08
7/15/2025,98.62
7/16/2025,98.39
7/17/2025,98.73
7/18/2025,98.48
7/21/2025,97.85
7/22/2025,97.39
7/23/2025,97.21
7/24/2025,97.38
7/25/2025,97.65
7/28/2025,98.66
7/29/2025,98.91
7/30/2025,99.94
7/31/2025,100.03
8/1/2025,98.69
8/4/2025,98.78
8/5/2025,98.78
8/6/2025,98.18
8/7/2025,98.4
8/8/2025,98.18
8/11/2025,98.52
8/12/2025,98.1
8/13/2025,97.84
8/14/2025,98.25
8/15/2025,97.85
8/18/2025,98.17
8/19/2025,98.27
8/20/2025,98.22
8/21/2025,98.62
8/22/2025,97.72
8/25/2025,98.43
8/26/2025,98.23
8/27/2025,98.23
8/28/2025,97.81
8/29/2025,97.77
9/2/2025,98.4
9/3/2025,98.14
9/4/2025,98.35
9/5/2025,97.77
9/8/2025,97.45
9/9/2025,97.79
9/10/2025,97.78
9/11/2025,97.54
9/12/2025,97.55
9/15/2025,97.3
9/16/2025,96.63
9/17/2025,96.87
9/18/2025,97.35
9/19/2025,97.64
9/22/2025,97.33
9/23/2025,97.26
9/24/2025,97.87
9/25/2025,98.55
9/26/2025,98.15
9/29/2025,97.91
9/30/2025,97.77
10/1/2025,97.71
10/2/2025,97.85
10/3/2025,97.72
10/6/2025,98.11
10/7/2025,98.58
10/8/2025,98.85
10/9/2025,99.54
10/10/2025,98.98
10/13/2025,99.27
10/14/2025,99.05
10/15/2025,98.79
10/16/2025,98.39
10/17/2025,98.43
10/20/2025,98.59
10/21/2025,98.93
10/22/2025,98.9
10/23/2025,98.94
10/24/2025,98.95
10/27/2025,98.78
10/28/2025,98.69
10/29/2025,99.22
10/30/2025,99.53
10/31/2025,99.8
11/3/2025,99.87
11/4/2025,100.22
11/5/2025,100.2
11/6/2025,99.73
11/7/2025,99.6
11/10/2025,99.62
11/11/2025,99.46
11/12/2025,99.48
11/13/2025,99.18
11/14/2025,99.27
11/17/2025,99.59
11/18/2025,99.55
11/19/2025,100.23
11/20/2025,100.16
11/21/2025,100.18
11/24/2025,100.14
11/25/2025,99.66
11/26/2025,99.6
11/28/2025,99.46
